No.,週,カテゴリ,場面,日本語,英語フレーズ,使えるシーン例,発音メモ,音読回数,暗唱できた(○/×)
26,第3週,タクシー,所要時間,ここからだいたいどれくらいかかりますか?,About how long does it take from here?,所要時間,About how long を一息で,,
27,第3週,案内,迷子,すみません、地図上で今いる場所を教えてもらえますか?,Excuse me, could you show me where we are on this map?,迷った時,show me を「ショウミ」,,
28,第3週,駅,改札,このメトロカード、もう1回チャージしたいんですが,I'd like to add more money to my MetroCard.,券売機で,add more money の流れ,,
29,第3週,案内,徒歩時間,そこまで歩いてどのくらいですか?ヒールでも大丈夫?,How far is it on foot? Is it doable in heels?,女性的表現,doable を「ドゥアブル」,,
30,第3週,地下鉄,遅延,何かトラブルがあったみたいで、次の電車を待っています,Looks like there's some kind of delay—I'm waiting for the next train.,遅延時,Looks like の上昇調,,
31,第4週,買い物,試着,これ試着してもいいですか?サイズ違いも持ってきてもらえますか?,Can I try this on? And could you bring me a different size too?,試着室前で,try this on の連結,,
32,第4週,買い物,サイズ,普段はSサイズなんですが、これは少しゆるい気がします,I usually wear a small, but this one feels a bit loose.,サイズ相談,a bit loose を強く,,
33,第4週,買い物,値引き,セール対象外ですか?もう少しお安くなりませんか?,Is this not on sale? Is there any way you could lower the price?,値引き交渉,lower the price を強く,,
34,第4週,買い物,返品,昨日買ったんですが、返品したいです、レシートはこちらです,I bought this yesterday and I'd like to return it—here's the receipt.,レジで,return it の連結,,
35,第4週,買い物,交換,色違いと交換することはできますか?,Would it be possible to exchange this for a different color?,交換,Would it be を「ウディビー」,,
36,第4週,買い物,支払い,カードで払います、暗証番号は要りますか?,I'll pay with my card—do I need to enter my PIN?,会計時,enter my PIN の P を強く,,
37,第4週,買い物,袋,袋は要りません、自分のエコバッグを持っています,I don't need a bag—I have my own.,会計時,I have my own の流れ,,
38,第4週,買い物,在庫,このシャツの他のサイズって在庫にありますか?,Do you have this shirt in stock in other sizes?,店員に尋ねる,in stock を強く,,
39,第4週,買い物,贈り物,これプレゼント用なので、ラッピングしてもらえますか?,This is a gift—could you gift-wrap it for me?,プレゼント,gift-wrap を一息で,,
40,第4週,買い物,免税,免税の手続きをしたいんですが、書類はどこでもらえますか?,I'd like to claim tax-free—where can I get the paperwork?,空港等で,tax-free を強く,,
41,第5週,病院,予約,熱があるので、今日中に診てもらえる予約は取れますか?,I have a fever—could I get an appointment to be seen today?,クリニック電話,appointment の oint を強く,,
42,第5週,病院,症状,3日前から喉が痛くて、咳が止まらないんです,My throat has been sore for three days and I can't stop coughing.,問診,can't stop の t を飲む,,
43,第5週,病院,既往歴,アレルギーは特にありませんが、ペニシリンは少し心配です,I don't have any major allergies, but I'm a little worried about penicillin.,問診票で,penicillin の発音注意,,
44,第5週,病院,処方,この薬は1日何回、いつ飲めばいいですか?,How many times a day should I take this, and when?,薬局/医師,take this の th を弱く,,
45,第5週,薬局,市販薬,頭痛がひどいんですが、これ以上強い市販薬はありますか?,My headache is really bad—do you have anything stronger over the counter?,ドラッグストア,over the counter を一息で,,
46,第5週,病院,保険,この保険、こちらで使えますか?クレームの仕方が分からないんです,Does this insurance work here? I'm not sure how to file a claim.,受付,file a claim を強く,,
47,第5週,病院,診断書,診断書を英語で発行してもらえますか?,Could I get a medical certificate in English?,証明書,certificate の発音注意,,
48,第5週,緊急,救急,救急車を呼んでください、友人が倒れました,Please call an ambulance—my friend just collapsed.,緊急時,collapsed の lapsed,,
49,第5週,病院,予約変更,予約を明日の午後に変更したいんですが,I'd like to reschedule my appointment to tomorrow afternoon.,予約変更,reschedule を強く,,
50,第5週,病院,会計,お会計はいくらですか?分割払いはできますか?,How much do I owe? Do you offer payment plans?,会計時,payment plans を強く,,
51,第6週,雑談,週末,この週末は何か予定ありますか?私はセントラルパークに行こうかなと思ってます,Got any plans this weekend? I was thinking of heading to Central Park.,雑談,Got any を「ガラニ」,,
52,第6週,雑談,意見,それは本当にそう思います、でも一方で〜という意見もありますよね,I totally agree with that—but on the other hand, some people might say ~.,議論,on the other hand を強く,,
53,第6週,雑談,感想,あの映画見ました?思っていたよりずっと良かったです,Have you seen that movie? It was way better than I expected.,話題提供,way better を強く,,
54,第6週,雑談,推薦,この近くで美味しいベーグル屋さんを探してるんですが、おすすめありますか?,I'm looking for a good bagel place around here—any recommendations?,お薦めを聞く,bagel を「ベイグル」,,
55,第6週,雑談,断り,お誘いありがとう、でもその日は先約があって行けないんです,Thanks for the invite, but I already have plans that day.,丁寧な断り,already have の流れ,,
56,第6週,雑談,共感,それすごく分かります、私も同じことを感じていました,I totally get that—I was feeling the same way.,共感,totally get that を強く,,
57,第6週,雑談,話題変え,話は変わりますが、最近〜って聞きました?,Anyway, did you hear about ~ recently?,話題転換,Anyway を強く,,
58,第6週,雑談,自慢ぼかし,自慢じゃないんですが、これ初めてにしては上手くいきました,Not to brag, but I think I did pretty well for my first try.,軽い自慢,Not to brag を一息で,,
59,第6週,雑談,結論,結局のところ、自分にとって何が大事かってことですよね,At the end of the day, it really comes down to what matters to you.,会話まとめ,At the end of the day を強く,,
60,第6週,雑談,別れ,そろそろ行かなきゃ、また連絡しますね、楽しかったです!,I should get going—I'll be in touch. It was really fun!,別れ際,get going の連結,,
